	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-slv_eders-d_0350	ELTeC-slv	eders-d	0350	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0400	ELTeC-slv	cosine-d	0400	1.0	0.938122547539994	0.979706493126187	0.9827191677145067	0.9812105179230236	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_0400	ELTeC-slv	burrows-d	0400	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_eders-d_0400	ELTeC-slv	eders-d	0400	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0450	ELTeC-slv	cosine-d	0450	1.0	0.938122547539994	0.979706493126187	0.9827191677145067	0.9812105179230236	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_0450	ELTeC-slv	burrows-d	0450	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777264	0.9723447805962023	0.9285714285714286	0.037521362148170506
ELTeC-slv_eders-d_0450	ELTeC-slv	eders-d	0450	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0500	ELTeC-slv	cosine-d	0500	2.0	0.8776119402985074	0.959412986252374	0.9653317277628167	0.962363256709563	0.9523809523809523	0.04058701374762622
ELTeC-slv_burrows-d_0500	ELTeC-slv	burrows-d	0500	3.0	0.7890222984562607	0.9290534955169447	0.9473013023975508	0.9380886677491836	0.9047619047619048	0.07094650448305544
ELTeC-slv_eders-d_0500	ELTeC-slv	eders-d	0500	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0600	ELTeC-slv	cosine-d	0600	2.0	0.8776119402985074	0.959412986252374	0.9653317277628167	0.962363256709563	0.9523809523809523	0.04058701374762622
ELTeC-slv_burrows-d_0600	ELTeC-slv	burrows-d	0600	3.0	0.7354838709677419	0.9162847009465477	0.9466061361747378	0.9311986543874617	0.8809523809523809	0.08371529905345239
ELTeC-slv_eders-d_0600	ELTeC-slv	eders-d	0600	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0700	ELTeC-slv	cosine-d	0700	1.0	0.938122547539994	0.9797064931261869	0.9827191677145065	0.9812105179230235	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_0700	ELTeC-slv	burrows-d	0700	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_eders-d_0700	ELTeC-slv	eders-d	0700	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0800	ELTeC-slv	cosine-d	0800	0.0	1.0	1.0	1.0	1.0	1.0	0.0
